partnerName,partnerId,partnerShortName
CFA Institute,888,cfainstitute
Università Bocconi,157,bocconi
Johns Hopkins University,8,jhu
Edge Impulse,748,edgeimpulse
Elos Educacional,320,eloseducacional
"Royal Holloway, University of London",337,royalholloway
Hebrew University of Jerusalem,24,huji
Laureate Education,137,laureate
"University of California, Irvine",30,uci
University of Heidelberg,931,uheidelberg
Emory University,23,emory
École des Ponts ParisTech,271,enpc
Databricks,671,databricks
Ticket for Change,333,ticketforchange
Universidad Autónoma Metropolitana,643,uam
University of Rochester,60,rochester
Alfaisal University | KLD,1027,au
United Cities and Local Governments of Africa,489,united-cities-and-local-governments-of-africa
Sorbonne University,932,sorbonne
IBM,348,ibm
National Academy of Sports Medicine,767,nasm
California Institute of the Arts,59,calarts
Macquarie University,254,macquarie
EIT Digital ,253,eitdigital
(ISC)²,472,isc2
National Oceanic and Atmospheric Administration (NOAA),538,noaa
Oxfam,547,oxfam
Charles University,933,charles-university
Relay Graduate School of Education,104,relay
Universidad ORT Uruguay,250,orturuguay
Universidade de São Paulo,221,usp
Ludwig-Maximilians-Universität München (LMU),64,lmu
"University of California, Santa Cruz",56,ucsc
University of London,26,london
The University of Hong Kong,235,hku
Alibaba Cloud Academy,627,alibaba
Peking University,163,pku
The World Bank Group,73,worldbank
Coursera Project Network,565,project-network
Insper,277,insper
Universitat Autònoma de Barcelona,80,uab
United Nations Development Programme (UNDP-The GEF),263,undpgef
IE Business School,61,ie
VITO,504,vito
Interactive Brokers,716,ibkr
Brightline Initiative,514,brightline
上海中医药大学,284,shutcm
SAS,520,sas
Shanghai Jiao Tong University,150,sjtu
Reference Centre for Psychosocial Support,1017,ps-centre
Pontificia Universidad Católica del Perú,852,pucp
National Taiwan University,75,taiwan
Technion - Israel Institute of Technology,129,technion
Columbia University,40,columbia
The University of Tokyo,76,utokyo
Sciences Po,210,sciencespo
Pohang University of Science and Technology,430,postech
New Teacher Center,103,ntc
"Aruba, a Hewlett Packard Enterprise company",787,aruba
American Museum of Natural History,100,amnh
Advancing Women in Tech,575,awit
Curtis Institute of Music,79,curtis
University of Cape Town,255,uct
Rice University,13,rice
Microsoft,705,microsoft
The Museum of Modern Art,107,moma
University of Houston,119,uh
Arizona State University,287,asu
Global Environment Facility (GEF),537,thegef
University of Illinois at Urbana-Champaign,17,illinois
Sungkyunkwan University,668,skku
Banco Interamericano de Desarrollo,467,international-development-bank
Meta,641,meta
National University of Singapore,47,nus
The University of Chicago,102,chicago
Geological Survey of Denmark and Greenland,505,geus
HubSpot Academy,485,hubspot-academy
PwC,329,pwc
ConsenSys Academy,511,consensys
Drexel University,453,drexel-university
Utrecht University,270,utrecht
University of Kentucky,127,uk
École normale supérieure,130,ens
Big Interview,772,biginterview
Lund University,199,lunduniversity
Meertens instituut (KNAW),354,knaw
The State University of New York,117,suny
CertNexus,639,certnexus
McMaster University,148,mcmaster
UNSW Sydney (The University of New South Wales),155,unsw
The Chinese University of Hong Kong,45,cuhk
New York University,309,nyu
Blue Prism,789,blueprism
UiPath,876,uipath
EIT RawMaterials,535,eit-rawmaterials
Pontificia Universidad Católica de Chile,190,ucchile
Fundação Lemann,224,lemann
Tufts University,551,tufts
Universidad Politécnica de Madrid,1010,universidad-politecnica-madrid
CONTEXT University [Testing],248,contextuniversity
INSEAD,72,insead
University of Zurich,93,zurich
Anaplan,820,anaplan
 EIT Urban Mobility,770,eiturbanmobility
LearnQuest,527,learnquest
Luris,486,luris
Leiden University Medical Center,328,leidenmed
Instituto Península ,314,institutopeninsula
The University of British Columbia,29,ubc
Google AR & VR,481,googlearvr
Sapienza University of Rome,74,sapienza
EIT Health,833,eithealth
Salesforce,695,salesforce
Osmosis,633,osmosis
Google Cloud,443,googlecloud
Delft University of Technology,508,tu-delft
Silicon Schools Fund,162,siliconschools
USO,529,uso
Splunk Inc.,987,splunk
emlyon business school,286,emlyon
ESADE Business and Law School,282,esade
Stanford University,1,stanford
ESCP Business School,207,escpeurope
University of North Texas,559,unt
Clayton Christensen Institute,164,christenseninstitute
University of Oslo,201,uio
University of Iceland,1057,iceland
Berlin University of the Arts,512,udk-berlin
Yonsei University,220,yonsei
Universidad Nacional Autónoma de México,58,unam
University at Buffalo,458,ubuffalo
Tecnológico de Monterrey,62,tecdemonterrey
UBITS,715,ubits
Instituto Natura,315,institutonatura
United Nations Environment Programme,541,unep
Deep Teaching Solutions,783,oakley
"UVA Lifetime Learning, Patrick Henry Memorial Foundation",471,uva-lifetime
Knowledge Accelerators,840,knowledgeaccelerators
4TU.Ethics,851,4tu
University of Western Australia,156,uwa
University of New Mexico,120,newmexico
North Carolina State University,441,ncsu
Rutgers the State University of New Jersey,67,rutgers
Université libre de Bruxelles,549,universite-libre-de-bruxelles
"University of Maryland, College Park",32,umd
"Nanyang Technological University, Singapore",121,ntu
The University of Sydney,264,sydney
